DR_NO,Part 1-2,Crm Cd,Crm Cd Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4
200613913.0,,,,946.0,,,
201009113.0,2.0,903.0,CONTEMPT OF COURT,903.0,,,
201110738.0,,888.0,TRESPASSING,888.0,,,
200715361.0,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
,2.0,,,626.0,,,
201012225.0,1.0,,,,,,
201216391.0,1.0,210.0,ROBBERY,210.0,,,
,,330.0,,,,,
200205168.0,,,UNAUTHORIZED COMPUTER ACCESS,661.0,,,
,,,BURGLARY,310.0,,,
,1.0,320.0,,320.0,,,
200711452.0,2.0,,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
200812298.0,1.0,310.0,BURGLARY,,,,
200714677.0,2.0,,OTHER MISCELLANEOUS CRIME,946.0,998.0,,
201306870.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,,,
,,,,210.0,,,
201104190.0,,624.0,,,,,
201221524.0,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,,,
200314140.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
201206855.0,,,,,,,
201217294.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
201304591.0,,,,,,,
200812341.0,,354.0,THEFT OF IDENTITY,354.0,,,
200507033.0,,330.0,,330.0,,,
200122260.0,2.0,762.0,LEWD CONDUCT,,,,
,1.0,420.0,,,,,
201012512.0,2.0,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,,,
200914820.0,,,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,,,
200612201.0,,624.0,,624.0,,,
,2.0,,VIOLATION OF RESTRAINING ORDER,,,,
201108602.0,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
201308719.0,2.0,624.0,,624.0,,,
200811220.0,1.0,,ROBBERY,,,,
201213355.0,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200809920.0,1.0,310.0,BURGLARY,310.0,,,
,1.0,,BURGLARY,310.0,,,
,,310.0,BURGLARY,310.0,,,
201013103.0,,310.0,,,,,
201011664.0,1.0,510.0,,510.0,,,
,,745.0,,745.0,,,
200310684.0,,930.0,,,,,
200515930.0,,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
201007495.0,,210.0,ROBBERY,,,,
,1.0,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331.0,,,
,,625.0,,625.0,,,
200815180.0,,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200507811.0,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,998.0,,
200207593.0,,,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
200711550.0,2.0,623.0,BATTERY POLICE (SIMPLE),623.0,,,
200614732.0,,,VEHICLE - STOLEN,510.0,,,
200807020.0,1.0,341.0,,,,,
,,440.0,,440.0,,,
200606873.0,,235.0,,,,,
200200579.0,2.0,,DOCUMENT FORGERY / STOLEN FELONY,649.0,998.0,,
200618022.0,,,,440.0,,,
200116401.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200905135.0,1.0,210.0,ROBBERY,,,,
,1.0,,,230.0,,,
200811128.0,1.0,,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
,1.0,,ROBBERY,,,,
201227358.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
200206623.0,,510.0,VEHICLE - STOLEN,510.0,,,
200407297.0,2.0,647.0,THROWING OBJECT AT MOVING VEHICLE,,,,
201305361.0,1.0,,,648.0,,,
,2.0,,INTIMATE PARTNER - SIMPLE ASSAULT,,,,
,1.0,520.0,VEHICLE - ATTEMPT STOLEN,520.0,,,
200308889.0,,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
200610781.0,2.0,624.0,,,,,
200218617.0,2.0,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745.0,,,
201010359.0,2.0,354.0,THEFT OF IDENTITY,354.0,,,
,2.0,,DOCUMENT FORGERY / STOLEN FELONY,649.0,,,
200917000.0,1.0,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
201309008.0,1.0,510.0,VEHICLE - STOLEN,,,,
,,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
,1.0,420.0,,,,,
200514464.0,,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200704042.0,1.0,236.0,,,,,
,1.0,480.0,BIKE - STOLEN,480.0,,,
201109303.0,1.0,331.0,,331.0,,,
200609302.0,,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,,
,,,BRANDISH WEAPON,,930.0,,
200605519.0,1.0,330.0,BURGLARY FROM VEHICLE,330.0,,,
,1.0,330.0,BURGLARY FROM VEHICLE,330.0,,,
200504303.0,,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200817875.0,,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200315846.0,,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
,,662.0,,662.0,998.0,,
200505822.0,1.0,310.0,,310.0,,,
,1.0,,,331.0,,,
,,510.0,VEHICLE - STOLEN,510.0,,,
,1.0,,BURGLARY FROM VEHICLE,,,,
200211790.0,,,ROBBERY,210.0,,,
200506220.0,2.0,,,,,,
,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
,2.0,888.0,TRESPASSING,888.0,,,
200409352.0,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
,,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200713932.0,1.0,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331.0,,,
200808925.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,,,,
200306927.0,2.0,886.0,DISTURBING THE PEACE,886.0,,,
200815357.0,2.0,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
,2.0,888.0,TRESPASSING,888.0,,,
201305132.0,1.0,310.0,,310.0,,,
200121986.0,2.0,946.0,OTHER MISCELLANEOUS CRIME,,,,
,,354.0,THEFT OF IDENTITY,354.0,,,
200321324.0,1.0,330.0,BURGLARY FROM VEHICLE,330.0,,,
201111109.0,,626.0,,626.0,,,
,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
200808730.0,1.0,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
200114355.0,,,BURGLARY,310.0,,,
,1.0,,,480.0,,,
200305934.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
200800871.0,,,,,,,
200320762.0,2.0,740.0,,740.0,,,
200909098.0,2.0,,BATTERY - SIMPLE ASSAULT,624.0,,,
200507060.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200508737.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,,
,,510.0,VEHICLE - STOLEN,510.0,,,
200709497.0,2.0,237.0,,237.0,,,
200315156.0,,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
200206374.0,1.0,310.0,,,,,
,1.0,,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200409162.0,1.0,236.0,,,,,
,1.0,,,,,,
201300780.0,,,BURGLARY,310.0,998.0,,
200305972.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,998.0,,
200800713.0,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
,,901.0,VIOLATION OF RESTRAINING ORDER,,,,
200310991.0,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
200316337.0,2.0,,BATTERY - SIMPLE ASSAULT,624.0,,,
,,,,330.0,,,
200814086.0,1.0,310.0,,310.0,,,
200712732.0,1.0,440.0,,440.0,,,
200216608.0,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200610386.0,2.0,901.0,VIOLATION OF RESTRAINING ORDER,,,,
,1.0,310.0,BURGLARY,310.0,,,
,1.0,,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
200215450.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
200504873.0,1.0,310.0,BURGLARY,310.0,,,
200800794.0,,,BURGLARY,,,,
200804696.0,,310.0,BURGLARY,,,,
,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
201105823.0,2.0,354.0,THEFT OF IDENTITY,354.0,,,
200405217.0,1.0,,,510.0,,,
201222738.0,2.0,745.0,,745.0,,,
200205947.0,2.0,946.0,,946.0,,,
200211530.0,,310.0,BURGLARY,,,,
,1.0,761.0,BRANDISH WEAPON,761.0,,,
200204985.0,,,BATTERY - SIMPLE ASSAULT,624.0,,,
201106342.0,1.0,210.0,ROBBERY,210.0,,,
200111112.0,,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,998.0,,
,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),,,,
201219416.0,,210.0,ROBBERY,210.0,,,
,,220.0,ATTEMPTED ROBBERY,220.0,,,
201105202.0,,310.0,BURGLARY,310.0,,,
,2.0,888.0,TRESPASSING,,,,
200516203.0,2.0,,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,627.0,,,
201112071.0,1.0,510.0,VEHICLE - STOLEN,,,,
200706754.0,1.0,310.0,BURGLARY,310.0,,,
200400812.0,,236.0,,236.0,998.0,,
201205886.0,1.0,,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
,1.0,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,,,,
,,510.0,VEHICLE - STOLEN,510.0,,,
,,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
,1.0,210.0,,,998.0,,
200517547.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
201005662.0,1.0,,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
201004851.0,,510.0,VEHICLE - STOLEN,510.0,,,
200307798.0,2.0,,,,,,
201114773.0,1.0,,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,,
201113692.0,1.0,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,,,,
200415873.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
200504926.0,1.0,,VEHICLE - STOLEN,510.0,,,
,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,998.0,,
200514195.0,,,,,998.0,,
200911331.0,,354.0,THEFT OF IDENTITY,,,,
,,420.0,,,,,
200116523.0,1.0,,BURGLARY,,,,
,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),,,,
201309667.0,2.0,,,946.0,,,
201223576.0,1.0,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
200812329.0,1.0,,,,,,
200914754.0,,,EXTORTION,940.0,,,
201107699.0,2.0,626.0,,,,,
200800796.0,1.0,310.0,BURGLARY,310.0,,,
,,888.0,TRESPASSING,888.0,,,
201218590.0,1.0,230.0,,,,,
201008961.0,2.0,900.0,VIOLATION OF COURT ORDER,,,,
200716448.0,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,,,
200815241.0,1.0,,,480.0,,,
200407248.0,2.0,,TRESPASSING,,,,
200117183.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,,,
,,745.0,,,,,
200114126.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200410369.0,,,VEHICLE - STOLEN,510.0,,,
,2.0,740.0,,740.0,,,
,1.0,330.0,BURGLARY FROM VEHICLE,330.0,,,
,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
201306345.0,,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,998.0,,
200105481.0,,623.0,BATTERY POLICE (SIMPLE),,,,
,2.0,,THEFT OF IDENTITY,,,,
201223212.0,2.0,740.0,,740.0,,,
200406630.0,2.0,740.0,,,,,
201009927.0,2.0,,VIOLATION OF COURT ORDER,900.0,,,
,,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
,2.0,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745.0,,,
200915653.0,1.0,510.0,VEHICLE - STOLEN,,,,
201222910.0,2.0,922.0,,,,,
200915193.0,1.0,330.0,BURGLARY FROM VEHICLE,330.0,,,
,,121.0,"RAPE, FORCIBLE",121.0,998.0,,
201206185.0,1.0,510.0,VEHICLE - STOLEN,,,,
200619479.0,,331.0,,,,,
201009535.0,1.0,310.0,BURGLARY,310.0,,,
200112727.0,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
,2.0,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,,
,,624.0,BATTERY - SIMPLE ASSAULT,,,,
201300764.0,1.0,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,236.0,,,
201006320.0,1.0,,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331.0,,,
,,668.0,,668.0,,,
200409648.0,1.0,,VEHICLE - STOLEN,510.0,,,
201218167.0,,230.0,,230.0,,,
200507431.0,,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200104524.0,,624.0,BATTERY - SIMPLE ASSAULT,,,,
200311641.0,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200312057.0,2.0,623.0,BATTERY POLICE (SIMPLE),623.0,,,
200105699.0,,442.0,,442.0,,,
200209680.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
200707941.0,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745.0,,,
,,,,,,,
200318776.0,2.0,354.0,,354.0,,,
200314981.0,1.0,330.0,,330.0,,,
200513515.0,,210.0,ROBBERY,210.0,,,
201117009.0,2.0,940.0,EXTORTION,940.0,,,
200904847.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
,,522.0,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",522.0,,,
,1.0,341.0,,341.0,,,
200218815.0,,,,,,,
,1.0,,VEHICLE - STOLEN,510.0,,,
201218201.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,,,
200510536.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
,2.0,753.0,DISCHARGE FIREARMS/SHOTS FIRED,753.0,,,
201010299.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
201008726.0,,,BATTERY - SIMPLE ASSAULT,,,,
200114086.0,1.0,,BURGLARY FROM VEHICLE,330.0,,,
201208558.0,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,,,
200911077.0,1.0,,,330.0,,,
,2.0,946.0,OTHER MISCELLANEOUS CRIME,946.0,,,
200508439.0,1.0,,VEHICLE - STOLEN,510.0,,,
,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
201111684.0,,330.0,,330.0,,,
200410678.0,,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,,,
201115581.0,2.0,740.0,,740.0,,,
200204434.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,998.0,,
,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200807080.0,1.0,310.0,BURGLARY,310.0,,,
200510665.0,,753.0,DISCHARGE FIREARMS/SHOTS FIRED,753.0,,,
200208100.0,1.0,,,,,,
200508219.0,1.0,,,330.0,,,
201007008.0,2.0,649.0,DOCUMENT FORGERY / STOLEN FELONY,649.0,,,
,,,,,,,
,,740.0,,740.0,,,
,2.0,,BATTERY - SIMPLE ASSAULT,624.0,,,
200212968.0,1.0,420.0,,420.0,,,
,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,998.0,,
200908149.0,2.0,,,,,,
200616728.0,1.0,341.0,,341.0,,,
200119410.0,,624.0,,624.0,,,
,,354.0,THEFT OF IDENTITY,354.0,,,
201220188.0,,,VEHICLE - STOLEN,,,,
200614689.0,,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
201225265.0,2.0,,,624.0,,,
200409768.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
,1.0,251.0,,251.0,,,
201304845.0,2.0,745.0,,745.0,,,
201219691.0,,,BATTERY - SIMPLE ASSAULT,624.0,,,
200315800.0,2.0,,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
200108865.0,2.0,354.0,THEFT OF IDENTITY,354.0,,,
200306397.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
,1.0,480.0,BIKE - STOLEN,480.0,,,
201109829.0,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
200915646.0,1.0,310.0,BURGLARY,310.0,,,
200108163.0,2.0,,,745.0,,,
200715067.0,1.0,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,,
,1.0,,THEFT PLAIN - PETTY ($950 & UNDER),,,,
201301128.0,1.0,,BRANDISH WEAPON,761.0,998.0,,
,2.0,,EXTORTION,940.0,,,
200117900.0,2.0,626.0,,626.0,,,
201014170.0,1.0,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331.0,,,
,,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,236.0,,,
200911134.0,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
201216777.0,2.0,,,626.0,,,
,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
,1.0,331.0,,,,,
,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200812271.0,1.0,231.0,,231.0,,,
200908111.0,,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,,,,
,1.0,330.0,,330.0,,,
200410957.0,2.0,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
,2.0,,BATTERY - SIMPLE ASSAULT,624.0,,,
200712795.0,1.0,330.0,BURGLARY FROM VEHICLE,,,,
,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,998.0,,
200617773.0,1.0,210.0,ROBBERY,210.0,,,
200504485.0,,,,745.0,,,
,,624.0,BATTERY - SIMPLE ASSAULT,,,,
,1.0,220.0,ATTEMPTED ROBBERY,,,,
201015282.0,,,,442.0,,,
201224769.0,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,,,
201200880.0,1.0,,"BURGLARY, ATTEMPTED",320.0,,,
200212395.0,2.0,,BATTERY - SIMPLE ASSAULT,,,,
200511602.0,1.0,341.0,,,,,
200712975.0,1.0,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420.0,,,
,,,VIOLATION OF COURT ORDER,900.0,,,
200712880.0,1.0,330.0,BURGLARY FROM VEHICLE,330.0,,,
200517422.0,,745.0,,,,,
,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
,1.0,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331.0,,,
200208572.0,2.0,,INTIMATE PARTNER - SIMPLE ASSAULT,,,,
200713883.0,1.0,310.0,,,,,
,,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200114723.0,1.0,330.0,BURGLARY FROM VEHICLE,,,,
201013183.0,2.0,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745.0,,,
200604460.0,,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,998.0,,
,,440.0,THEFT PLAIN - PETTY ($950 & UNDER),,,,
,2.0,,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
200120116.0,1.0,231.0,,,,,
200319687.0,1.0,251.0,SHOTS FIRED AT INHABITED DWELLING,251.0,998.0,,
200109941.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
,2.0,900.0,VIOLATION OF COURT ORDER,900.0,,,
200508262.0,,,,,,,
200411245.0,1.0,,VEHICLE - STOLEN,,,,
,2.0,805.0,PIMPING,805.0,,,
201005062.0,1.0,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442.0,,,
200112137.0,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200907449.0,1.0,442.0,,,,,
200613667.0,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745.0,,,
,,330.0,BURGLARY FROM VEHICLE,,,,
201212991.0,,520.0,VEHICLE - ATTEMPT STOLEN,,998.0,,
200410432.0,2.0,910.0,KIDNAPPING,910.0,,,
,,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331.0,,,
,1.0,440.0,,,,,
200507916.0,2.0,888.0,,888.0,,,
200308974.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,,,
,,310.0,,,,,
200806839.0,1.0,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442.0,,,
,1.0,510.0,VEHICLE - STOLEN,,,,
,,900.0,,,,,
200907009.0,,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),,,,
200208503.0,1.0,,VEHICLE - STOLEN,510.0,,,
200717480.0,2.0,,,740.0,,,
200605909.0,,510.0,VEHICLE - STOLEN,510.0,,,
201116841.0,1.0,520.0,VEHICLE - ATTEMPT STOLEN,520.0,,,
200307636.0,,,BURGLARY FROM VEHICLE,330.0,,,
200913359.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230.0,,,
200118383.0,,,,624.0,,,
,,,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
201010757.0,1.0,,,,,,
200815459.0,1.0,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200607156.0,,,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200605600.0,2.0,625.0,OTHER ASSAULT,625.0,,,
201205590.0,2.0,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,626.0,,,
200312896.0,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
200219090.0,1.0,310.0,,310.0,,,
,,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
,,860.0,BATTERY WITH SEXUAL CONTACT,860.0,,,
,2.0,901.0,VIOLATION OF RESTRAINING ORDER,901.0,,,
,1.0,510.0,VEHICLE - STOLEN,510.0,,,
200807623.0,,440.0,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200321949.0,2.0,812.0,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),812.0,860.0,,
200216818.0,,930.0,,930.0,998.0,,
200604114.0,2.0,624.0,,624.0,,,
201113319.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
201309363.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200616790.0,2.0,354.0,THEFT OF IDENTITY,,,,
201007522.0,,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200512520.0,2.0,753.0,,753.0,,,
,2.0,901.0,VIOLATION OF RESTRAINING ORDER,901.0,,,
200507293.0,1.0,320.0,"BURGLARY, ATTEMPTED",,,,
200113919.0,1.0,510.0,,,,,
200616045.0,1.0,341.0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341.0,,,
,1.0,,,440.0,,,
200207995.0,,,BURGLARY FROM VEHICLE,,,,
200413931.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200918172.0,1.0,,BURGLARY FROM VEHICLE,,,,
,2.0,,CRIMINAL THREATS - NO WEAPON DISPLAYED,930.0,,,
200117733.0,,330.0,BURGLARY FROM VEHICLE,330.0,,,
201210370.0,1.0,,,510.0,,,
200506588.0,,745.0,,745.0,,,
201115863.0,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,,
,1.0,,ROBBERY,210.0,,,
200616810.0,1.0,310.0,,,,,
201113155.0,,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331.0,,,
201111884.0,,761.0,BRANDISH WEAPON,761.0,998.0,,
200911103.0,1.0,510.0,,510.0,,,
200717498.0,,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,236.0,,,
200107762.0,1.0,,BURGLARY FROM VEHICLE,,,,
,1.0,320.0,"BURGLARY, ATTEMPTED",320.0,930.0,,
200511881.0,2.0,901.0,VIOLATION OF RESTRAINING ORDER,,,,
200814717.0,2.0,354.0,THEFT OF IDENTITY,,,,
,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745.0,,,
200812607.0,,761.0,BRANDISH WEAPON,761.0,,,
200811777.0,,330.0,BURGLARY FROM VEHICLE,330.0,,,
200704433.0,,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442.0,,,
200618355.0,1.0,510.0,VEHICLE - STOLEN,510.0,,,
200214526.0,,888.0,,888.0,998.0,,
200708671.0,2.0,438.0,,438.0,,,
200510473.0,,310.0,BURGLARY,310.0,,,
,2.0,740.0,,,,,
200805284.0,,330.0,,330.0,,,
,,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),,,,
201226887.0,2.0,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745.0,,,
200108221.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200318218.0,1.0,230.0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,,,
201109324.0,,510.0,VEHICLE - STOLEN,,,,
,2.0,,,,,,
200204888.0,,,BURGLARY FROM VEHICLE,330.0,,,
200404689.0,1.0,230.0,,,,,
200510846.0,1.0,,,510.0,,,
200710070.0,1.0,231.0,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,231.0,,,
,,,THEFT PLAIN - PETTY ($950 & UNDER),440.0,,,
200513065.0,2.0,662.0,,,,,
200207395.0,2.0,624.0,BATTERY - SIMPLE ASSAULT,624.0,,,
200808362.0,2.0,740.0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740.0,,,
200204681.0,,,TRESPASSING,888.0,,,
