DR_NO,Status,Status Desc
201109241.0,IC,Invest Cont
,,Invest Cont
200815583.0,IC,
200709021.0,,Adult Other
,IC,Invest Cont
200106175.0,IC,Invest Cont
200617010.0,IC,
201013217.0,IC,Invest Cont
200104594.0,IC,Invest Cont
200110052.0,,
200517669.0,,Invest Cont
200510674.0,IC,Invest Cont
200916925.0,IC,Invest Cont
200321746.0,IC,
,,
,IC,
200708242.0,,Invest Cont
200617231.0,AO,
,IC,Invest Cont
200807585.0,,
,,Invest Cont
200111101.0,,Adult Other
,IC,Invest Cont
200215572.0,IC,Invest Cont
200105054.0,,Invest Cont
200319565.0,IC,Invest Cont
200316589.0,,Adult Arrest
200708689.0,IC,Invest Cont
201111404.0,AA,
,IC,Invest Cont
201300868.0,AA,
,IC,Invest Cont
,,Adult Arrest
,IC,
201213202.0,,Invest Cont
201224533.0,AO,
200412397.0,IC,Invest Cont
201204978.0,IC,
200506064.0,,Juv Arrest
200118974.0,IC,Invest Cont
201113027.0,,Invest Cont
200915605.0,,
200809661.0,IC,Invest Cont
200604700.0,IC,
200305025.0,IC,
,IC,Invest Cont
200908879.0,IC,
200613265.0,,Invest Cont
200507119.0,AA,Adult Arrest
201107194.0,IC,
200416216.0,IC,Invest Cont
200608743.0,AO,Adult Other
200618728.0,IC,Invest Cont
200321294.0,AO,Adult Other
200322296.0,IC,Invest Cont
,IC,Invest Cont
200219047.0,IC,Invest Cont
200407117.0,IC,Invest Cont
200117988.0,IC,Invest Cont
,IC,Invest Cont
201215288.0,AO,Adult Other
,IC,Invest Cont
200615196.0,,Invest Cont
200205103.0,IC,Invest Cont
201016381.0,IC,Invest Cont
,AO,Adult Other
201307940.0,IC,Invest Cont
,IC,Invest Cont
,AO,Adult Other
201307077.0,,Invest Cont
,IC,Invest Cont
200209181.0,AA,Adult Arrest
201007567.0,AO,
,AO,Adult Other
200605740.0,AA,Adult Arrest
200416028.0,,
,IC,
201116336.0,IC,Invest Cont
201114782.0,IC,
200310416.0,IC,Invest Cont
,IC,Invest Cont
201014283.0,IC,Invest Cont
,AO,
200408618.0,IC,Invest Cont
200407521.0,AO,Adult Other
200208350.0,IC,
200414488.0,IC,Invest Cont
,AO,Adult Other
,IC,Invest Cont
200505068.0,AA,Adult Arrest
200614595.0,IC,Invest Cont
200615043.0,IC,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
,,Adult Other
200915696.0,AO,Adult Other
,IC,Invest Cont
200116354.0,AO,Adult Other
200412172.0,IC,Invest Cont
200512111.0,IC,Invest Cont
201113064.0,IC,Invest Cont
200708317.0,AO,
201015685.0,IC,Invest Cont
200808801.0,IC,Invest Cont
,IC,
,IC,Invest Cont
200716781.0,,Invest Cont
200304700.0,IC,Invest Cont
,IC,Invest Cont
200208066.0,IC,Invest Cont
200618580.0,IC,Invest Cont
,IC,Invest Cont
201212144.0,AO,Adult Other
201219304.0,AA,
200317571.0,IC,Invest Cont
201109063.0,,
200109962.0,IC,Invest Cont
201307804.0,AA,
201214594.0,IC,
200716734.0,IC,Invest Cont
,,
200906646.0,IC,
200816285.0,,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
200212614.0,IC,
200605329.0,,Invest Cont
200706186.0,IC,
200815198.0,AO,Adult Other
,AA,Adult Arrest
200408096.0,AA,Adult Arrest
200508431.0,,Invest Cont
201219454.0,,
201219885.0,AO,Adult Other
,AA,Adult Arrest
200909092.0,,Invest Cont
200717236.0,IC,Invest Cont
200115046.0,AA,Adult Arrest
200319472.0,AA,
200610699.0,IC,Invest Cont
201005330.0,,Invest Cont
200504809.0,IC,Invest Cont
200705134.0,IC,Invest Cont
,,
200611438.0,,Invest Cont
200111209.0,IC,Invest Cont
,IC,Invest Cont
200605686.0,IC,
200508796.0,IC,Invest Cont
200909232.0,IC,
,IC,
200313632.0,IC,Invest Cont
,IC,Invest Cont
200606007.0,,Invest Cont
,,
200122630.0,IC,Invest Cont
,AO,Adult Other
200314858.0,AA,
,IC,
200313281.0,IC,Invest Cont
200707668.0,,Invest Cont
,AO,Adult Other
201113788.0,,Invest Cont
201011314.0,AA,Adult Arrest
201220280.0,IC,Invest Cont
201011557.0,IC,Invest Cont
201110895.0,IC,Invest Cont
,AA,Adult Arrest
200317128.0,IC,
200320465.0,IC,Invest Cont
200919016.0,IC,
200610306.0,AA,Adult Arrest
,,Invest Cont
201305867.0,IC,Invest Cont
,IC,Invest Cont
,,Adult Arrest
201208702.0,IC,
201005390.0,IC,Invest Cont
200400819.0,,Invest Cont
,,
200813949.0,IC,Invest Cont
200300601.0,IC,
200211375.0,IC,Invest Cont
200618301.0,,Invest Cont
201210589.0,IC,Invest Cont
201116284.0,AO,Adult Other
200406644.0,IC,Invest Cont
200617539.0,IC,Invest Cont
201222549.0,AO,Adult Other
200313886.0,IC,
200314030.0,IC,
200304179.0,IC,
200817734.0,IC,Invest Cont
200217162.0,IC,
,IC,Invest Cont
201113171.0,,Invest Cont
201210975.0,IC,Invest Cont
200910474.0,,
200206684.0,,Adult Other
200817902.0,IC,Invest Cont
201109834.0,,Invest Cont
200710378.0,,Invest Cont
200707946.0,JA,Juv Arrest
200410108.0,IC,Invest Cont
,IC,Invest Cont
200306662.0,AO,Adult Other
,IC,Invest Cont
201014056.0,,
200214424.0,IC,Invest Cont
200305373.0,IC,Invest Cont
,IC,
,IC,
,AA,Adult Arrest
200110192.0,,Invest Cont
201008401.0,IC,Invest Cont
200405985.0,IC,
200509288.0,IC,Invest Cont
201204576.0,IC,Invest Cont
201214447.0,,Invest Cont
200512410.0,IC,
200305663.0,,
,IC,Invest Cont
200113869.0,AO,Adult Other
201113583.0,IC,Invest Cont
200313965.0,IC,Invest Cont
200804664.0,IC,Invest Cont
,,Invest Cont
200413927.0,IC,Invest Cont
,IC,Invest Cont
200115887.0,,
201223062.0,IC,Invest Cont
200322320.0,IC,
,IC,Invest Cont
200617078.0,IC,Invest Cont
,IC,Invest Cont
200712536.0,IC,Invest Cont
200908380.0,,Invest Cont
,IC,Invest Cont
200216018.0,AO,Adult Other
201215291.0,IC,
200714563.0,IC,Invest Cont
,IC,Invest Cont
200511995.0,IC,Invest Cont
201105172.0,IC,Invest Cont
200104750.0,IC,Invest Cont
200712273.0,AO,
200116884.0,IC,Invest Cont
200509761.0,,Invest Cont
200115928.0,IC,Invest Cont
200611658.0,IC,
200205356.0,,Invest Cont
200100612.0,IC,Invest Cont
200401034.0,IC,Invest Cont
200908452.0,AA,Adult Arrest
201207405.0,IC,Invest Cont
200315653.0,IC,Invest Cont
200915186.0,IC,Invest Cont
200609594.0,IC,Invest Cont
200113263.0,IC,Invest Cont
200614366.0,IC,Invest Cont
200508664.0,AO,Adult Other
,AO,Adult Other
201215480.0,AO,Adult Other
200316094.0,AA,Adult Arrest
200315220.0,IC,Invest Cont
200317915.0,IC,Invest Cont
200812103.0,IC,
200911420.0,IC,Invest Cont
200804371.0,IC,Invest Cont
201111795.0,,Invest Cont
200210233.0,IC,Invest Cont
200708114.0,AA,
200413565.0,IC,
201206824.0,IC,Invest Cont
201105065.0,IC,Invest Cont
201004415.0,IC,Invest Cont
,IC,Invest Cont
201224761.0,IC,Invest Cont
200705874.0,,Invest Cont
200617967.0,,
201112838.0,IC,Invest Cont
200512288.0,,Invest Cont
200312831.0,,Invest Cont
,IC,Invest Cont
200808920.0,IC,Invest Cont
200121312.0,IC,Invest Cont
200410794.0,,Invest Cont
200306510.0,,Invest Cont
201307641.0,IC,Invest Cont
,IC,
201222324.0,IC,Invest Cont
201110029.0,IC,Invest Cont
200704537.0,,Invest Cont
201223034.0,IC,
201107834.0,IC,Invest Cont
200410168.0,IC,Invest Cont
200114908.0,IC,Invest Cont
200712242.0,,Invest Cont
200817762.0,IC,Invest Cont
200308567.0,,Invest Cont
200119622.0,IC,Invest Cont
200211437.0,,
200415682.0,IC,Invest Cont
200904935.0,IC,
,AA,Adult Arrest
201209427.0,IC,Invest Cont
200411004.0,IC,Invest Cont
200913246.0,,Adult Arrest
200705401.0,IC,Invest Cont
,IC,Invest Cont
200213814.0,AA,Adult Arrest
200100882.0,AA,Adult Arrest
,,Invest Cont
200614849.0,,Invest Cont
200613294.0,AO,
200210888.0,,Invest Cont
,IC,Invest Cont
200811623.0,,Invest Cont
200120187.0,IC,Invest Cont
,,Invest Cont
,,Adult Other
,AO,Adult Other
201105588.0,IC,Invest Cont
200711696.0,IC,
,IC,Invest Cont
200411203.0,IC,
200808108.0,,Invest Cont
200109311.0,,Invest Cont
201011299.0,,
200320956.0,IC,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
200913093.0,IC,Invest Cont
200706789.0,,Invest Cont
200814291.0,AO,Adult Other
201206297.0,IC,Invest Cont
200507569.0,IC,Invest Cont
,IC,
,IC,
,IC,
200912584.0,IC,
200517191.0,,
200508143.0,IC,Invest Cont
200304718.0,,
,,Invest Cont
201112958.0,,Invest Cont
,AO,Adult Other
200506941.0,IC,Invest Cont
201304825.0,IC,Invest Cont
200405424.0,IC,Invest Cont
200512756.0,IC,Invest Cont
200716533.0,,Invest Cont
200908411.0,AA,
,IC,Invest Cont
,IC,Invest Cont
200216757.0,,Invest Cont
,,
201306017.0,,Invest Cont
201214933.0,IC,Invest Cont
200406517.0,IC,Invest Cont
200410977.0,,Invest Cont
200710724.0,IC,Invest Cont
,,Invest Cont
200120169.0,IC,Invest Cont
200515535.0,AA,Adult Arrest
201008887.0,,
,AO,Adult Other
201111371.0,IC,Invest Cont
200313942.0,IC,Invest Cont
200708167.0,,Invest Cont
,AA,Adult Arrest
200904337.0,IC,Invest Cont
200609026.0,,Invest Cont
200205402.0,,Invest Cont
201209121.0,IC,Invest Cont
201215423.0,AA,
200804730.0,IC,Invest Cont
200909717.0,,
200618640.0,IC,Invest Cont
201014895.0,IC,Invest Cont
201116312.0,,Invest Cont
201015594.0,,Invest Cont
200712307.0,IC,Invest Cont
,IC,
201308570.0,IC,Invest Cont
200210793.0,,Adult Other
,,Invest Cont
200313761.0,IC,Invest Cont
200514132.0,IC,Invest Cont
200110957.0,,Invest Cont
200116609.0,,Invest Cont
,,Invest Cont
201222162.0,IC,
200208387.0,IC,
200909837.0,,
201008675.0,AO,Adult Other
201011604.0,,
201218009.0,IC,Invest Cont
200405697.0,IC,Invest Cont
200407822.0,,Invest Cont
201226495.0,IC,Invest Cont
,IC,Invest Cont
200910314.0,AO,Adult Other
,,Adult Other
200508408.0,IC,Invest Cont
,IC,
,IC,
200704920.0,IC,Invest Cont
201224479.0,,Adult Other
,,Invest Cont
201009608.0,IC,Invest Cont
200504057.0,IC,Invest Cont
200710521.0,IC,Invest Cont
,IC,Invest Cont
201305498.0,AO,Adult Other
200307640.0,IC,Invest Cont
200706917.0,IC,Invest Cont
200616577.0,IC,Invest Cont
200711079.0,AA,Adult Arrest
200411607.0,IC,
200606525.0,AO,
200909957.0,,Invest Cont
,,Invest Cont
,,Invest Cont
200808741.0,IC,
200710996.0,AO,
201115112.0,IC,Invest Cont
201108692.0,,Adult Other
200116512.0,IC,Invest Cont
,IC,Invest Cont
201307831.0,IC,Invest Cont
,,
200712725.0,IC,Invest Cont
200411904.0,AA,Adult Arrest
200815772.0,IC,
,AO,Adult Other
,AO,Adult Other
200900618.0,AO,Adult Other
201006630.0,IC,Invest Cont
201211594.0,IC,Invest Cont
,,Invest Cont
200915687.0,IC,Invest Cont
,IC,Invest Cont
200111713.0,,Invest Cont
201106617.0,,Invest Cont
200510041.0,IC,Invest Cont
201217288.0,IC,
,,
200415653.0,IC,Invest Cont
,IC,Invest Cont
200507876.0,IC,Invest Cont
201307623.0,IC,Invest Cont
200817064.0,IC,Invest Cont
,,
200315282.0,IC,Invest Cont
201100565.0,IC,Invest Cont
200400694.0,,Invest Cont
,,Adult Arrest
200105026.0,IC,Invest Cont
200517520.0,AO,Adult Other
201215860.0,AO,Adult Other
200117954.0,IC,Invest Cont
201005196.0,IC,Invest Cont
200306830.0,IC,Invest Cont
201213943.0,,Adult Arrest
200105709.0,IC,Invest Cont
200612288.0,IC,Invest Cont
200611886.0,AO,Adult Other
,AA,Adult Arrest
,,Adult Other
200321099.0,,Invest Cont
,IC,Invest Cont
201216955.0,IC,Invest Cont
200609358.0,AA,Adult Arrest
,IC,Invest Cont
200204557.0,JA,Juv Arrest
201224191.0,IC,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
200714705.0,IC,
,IC,Invest Cont
200211061.0,IC,Invest Cont
201307981.0,IC,
201006192.0,,Invest Cont
201223646.0,AA,Adult Arrest
200912679.0,IC,
201309884.0,IC,Invest Cont
200704937.0,IC,Invest Cont
200511633.0,IC,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
200610376.0,,Invest Cont
,AO,Adult Other
,IC,
201109222.0,IC,Invest Cont
201015689.0,IC,Invest Cont
200507310.0,IC,
201205748.0,AO,
201100811.0,IC,Invest Cont
201304422.0,AA,Adult Arrest
201007123.0,AO,
201214881.0,,
200505655.0,IC,Invest Cont
,AA,
201012465.0,IC,Invest Cont
201210854.0,AO,
201305189.0,,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
,,Adult Other
200507899.0,AO,Adult Other
,IC,Invest Cont
200909336.0,IC,
200716814.0,,Invest Cont
200204562.0,IC,
200315504.0,,Invest Cont
201009982.0,IC,Invest Cont
200909368.0,,Invest Cont
201221512.0,,Invest Cont
,IC,Invest Cont
201108544.0,,Invest Cont
,IC,
200300896.0,,Adult Arrest
,,Invest Cont
201214515.0,AA,
,IC,Invest Cont
,IC,Invest Cont
200611456.0,IC,
200817047.0,AO,Adult Other
,AO,Adult Other
201223136.0,,Invest Cont
,,Invest Cont
200608304.0,IC,
201205074.0,,Adult Arrest
200816338.0,,Invest Cont
,AA,Adult Arrest
,IC,Invest Cont
200114073.0,IC,
200405489.0,AO,Adult Other
,IC,Invest Cont
200112245.0,,Invest Cont
200117177.0,IC,
200317330.0,IC,Invest Cont
200209078.0,IC,
201015278.0,IC,Invest Cont
200805781.0,IC,Invest Cont
200614702.0,,Invest Cont
,IC,Invest Cont
200218813.0,IC,
200206644.0,IC,
,AO,Adult Other
200214459.0,,
200908604.0,,Invest Cont
,,Invest Cont
201116834.0,IC,
,IC,
,IC,
200608036.0,IC,Invest Cont
201107149.0,IC,Invest Cont
200321894.0,IC,Invest Cont
,,Invest Cont
200613058.0,IC,Invest Cont
200113642.0,IC,
200311722.0,IC,Invest Cont
,IC,Invest Cont
200917659.0,AO,Adult Other
,IC,Invest Cont
,IC,Invest Cont
200508338.0,IC,Invest Cont
,,Invest Cont
201116110.0,IC,Invest Cont
,IC,
200918506.0,IC,
200109159.0,IC,Invest Cont
200212860.0,AO,Adult Other
,IC,Invest Cont
200516945.0,IC,Invest Cont
200114101.0,AO,
,IC,
200617466.0,IC,Invest Cont
,AA,
,IC,Invest Cont
200615861.0,IC,Invest Cont
,IC,Invest Cont
201108056.0,IC,
,,
201109104.0,IC,Invest Cont
,IC,Invest Cont
200116319.0,AO,Adult Other
200216270.0,IC,Invest Cont
201300955.0,IC,Invest Cont
,AA,Adult Arrest
,IC,Invest Cont
201222212.0,AA,Adult Arrest
200907147.0,IC,Invest Cont
200118445.0,IC,Invest Cont
200211796.0,IC,Invest Cont
200710282.0,IC,Invest Cont
201016369.0,AA,Adult Arrest
200107715.0,AA,Adult Arrest
,,
200308845.0,,
201300890.0,IC,
200122487.0,,Invest Cont
,IC,Invest Cont
,,
200413246.0,IC,Invest Cont
200911713.0,IC,Invest Cont
200909909.0,IC,
,IC,Invest Cont
200904592.0,,Invest Cont
200308248.0,,Adult Other
,,Invest Cont
201213516.0,,Invest Cont
200500685.0,,Adult Arrest
,IC,Invest Cont
200605491.0,IC,Invest Cont
200116039.0,IC,Invest Cont
201207883.0,IC,
200918905.0,AO,Adult Other
200915292.0,AO,
,,Invest Cont
201216112.0,IC,
200214549.0,,Invest Cont
200615818.0,IC,Invest Cont
200610004.0,IC,Invest Cont
,IC,
200312848.0,IC,
201210401.0,IC,Invest Cont
200411060.0,,Invest Cont
200816451.0,,Invest Cont
,,Invest Cont
,,Invest Cont
,IC,
200709746.0,IC,Invest Cont
200806342.0,IC,
200310293.0,IC,
,IC,Invest Cont
200808746.0,IC,Invest Cont
200118182.0,IC,Invest Cont
200609109.0,AA,
,IC,Invest Cont
200811000.0,IC,Invest Cont
200711605.0,IC,Invest Cont
200607457.0,,
200415554.0,IC,Invest Cont
201305363.0,,Invest Cont
201010267.0,AO,Adult Other
200807899.0,IC,Invest Cont
,IC,
,,Adult Other
200305032.0,,Juv Arrest
200907646.0,IC,Invest Cont
201015320.0,IC,Invest Cont
200205661.0,IC,
200615303.0,,
200205914.0,IC,Invest Cont
200317171.0,IC,Invest Cont
,AO,Adult Other
200406662.0,IC,Invest Cont
200212426.0,IC,Invest Cont
201207118.0,JA,Juv Arrest
200710645.0,IC,Invest Cont
,IC,
201219590.0,IC,Invest Cont
200910010.0,IC,Invest Cont
201011121.0,IC,Invest Cont
200505252.0,IC,
,IC,Invest Cont
201212199.0,IC,Invest Cont
200910755.0,AO,Adult Other
200616407.0,AA,Adult Arrest
200211432.0,IC,Invest Cont
,,
,,Invest Cont
,AA,Adult Arrest
,AO,Adult Other
200514509.0,,Invest Cont
,IC,Invest Cont
,,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
200216535.0,IC,Invest Cont
200811087.0,AO,Adult Other
200614091.0,IC,Invest Cont
,,Invest Cont
,,Invest Cont
200917073.0,,
200618475.0,IC,Invest Cont
,AO,Adult Other
201225434.0,,Adult Other
200115355.0,AA,Adult Arrest
200214111.0,IC,Invest Cont
201007576.0,,Adult Other
200807638.0,,
200516239.0,IC,
200317549.0,,Invest Cont
200317830.0,,Invest Cont
200309844.0,IC,Invest Cont
200406717.0,IC,
200407998.0,IC,Invest Cont
200304898.0,IC,Invest Cont
,,
200209879.0,,Adult Other
,,Invest Cont
,AO,Adult Other
200611832.0,IC,Invest Cont
200711844.0,IC,Invest Cont
201309901.0,,Invest Cont
201113049.0,IC,Invest Cont
200716491.0,,
200406875.0,AA,
200210961.0,IC,Invest Cont
200213008.0,,Adult Arrest
200106825.0,IC,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
201212750.0,AO,Adult Other
200216277.0,IC,
200111085.0,IC,Invest Cont
200909470.0,IC,Invest Cont
200307436.0,IC,Invest Cont
201112278.0,AO,Adult Other
,AA,Adult Arrest
200114870.0,IC,Invest Cont
200116924.0,,Adult Arrest
200509715.0,AA,Adult Arrest
200219013.0,IC,
,AO,Adult Other
201208602.0,IC,Invest Cont
200815580.0,,Invest Cont
200918956.0,IC,Invest Cont
,,Adult Arrest
,IC,
201116830.0,IC,Invest Cont
200122724.0,IC,Invest Cont
200112148.0,IC,Invest Cont
200810460.0,IC,Invest Cont
200607108.0,,Adult Other
201115929.0,IC,Invest Cont
201216732.0,AA,Adult Arrest
201004764.0,IC,Invest Cont
200415153.0,,Invest Cont
201219015.0,IC,Invest Cont
200313153.0,IC,
,IC,Invest Cont
201004709.0,IC,Invest Cont
,IC,Invest Cont
200711695.0,IC,Invest Cont
201012798.0,AA,Adult Arrest
200109519.0,IC,Invest Cont
201208645.0,IC,Invest Cont
200716541.0,IC,Invest Cont
200400627.0,IC,Invest Cont
201216786.0,,
,,
201217384.0,AO,Adult Other
200813168.0,,Invest Cont
,,
200114835.0,AO,
,IC,Invest Cont
200708904.0,,Adult Arrest
,AO,Adult Other
,IC,Invest Cont
201007901.0,IC,Invest Cont
200918722.0,IC,Invest Cont
201226244.0,IC,Invest Cont
200318645.0,,
200709854.0,,
200113521.0,,Invest Cont
200704861.0,,Adult Other
200809276.0,IC,Invest Cont
200717386.0,IC,Invest Cont
,IC,Invest Cont
201107515.0,IC,Invest Cont
201216066.0,IC,Invest Cont
201304405.0,,Adult Other
200406332.0,IC,Invest Cont
,,
200517620.0,IC,
200618038.0,,Invest Cont
,IC,Invest Cont
200311424.0,AO,Adult Other
,,
200312417.0,IC,Invest Cont
200810164.0,,Invest Cont
,IC,Invest Cont
201211089.0,AO,Adult Other
200506728.0,AA,Adult Arrest
201112534.0,IC,Invest Cont
200414493.0,,
200206520.0,IC,Invest Cont
200810910.0,IC,
,IC,Invest Cont
200211951.0,IC,Invest Cont
200705108.0,AO,Adult Other
200406514.0,AO,
,IC,Invest Cont
200716081.0,IC,Invest Cont
,IC,Invest Cont
201010322.0,,
201216525.0,,Adult Other
,IC,
201208493.0,IC,
200915974.0,IC,Invest Cont
200404677.0,,Adult Arrest
200112811.0,IC,Invest Cont
200715540.0,,Adult Arrest
200812886.0,AO,Adult Other
,,Invest Cont
200510510.0,AA,Adult Arrest
201107274.0,IC,Invest Cont
200504784.0,AA,
200515196.0,,Invest Cont
200215434.0,AO,
200215063.0,IC,Invest Cont
200515050.0,IC,Invest Cont
201000810.0,AA,Adult Arrest
200506070.0,IC,Invest Cont
200217941.0,IC,
200408689.0,IC,Invest Cont
200816372.0,IC,
200913459.0,IC,Invest Cont
200515571.0,IC,Invest Cont
,IC,
201106428.0,IC,Invest Cont
201218494.0,IC,Invest Cont
200318863.0,IC,Invest Cont
,,Invest Cont
200707725.0,IC,Invest Cont
,IC,
201208225.0,AA,Adult Arrest
,IC,
200312243.0,IC,Invest Cont
200804196.0,IC,
,,Invest Cont
200613330.0,IC,
200710942.0,AO,
201300951.0,AA,
200711512.0,IC,Invest Cont
200116369.0,IC,Invest Cont
,IC,
,IC,Invest Cont
200117607.0,AO,Adult Other
,,Invest Cont
201010396.0,IC,Invest Cont
200713597.0,IC,Invest Cont
201109418.0,AA,Adult Arrest
,,Invest Cont
,IC,Invest Cont
201226437.0,IC,Invest Cont
200306052.0,IC,
,,
,,
201225158.0,AO,Adult Other
200812873.0,IC,
200812794.0,IC,Invest Cont
,,Adult Arrest
200714588.0,,Invest Cont
201225101.0,,
200307803.0,,
200314689.0,IC,Invest Cont
200904951.0,,Invest Cont
200300726.0,AA,Adult Arrest
201220568.0,IC,Invest Cont
,AO,Adult Other
200104267.0,,
200309522.0,IC,Invest Cont
200115212.0,IC,
,,
,,Invest Cont
,IC,
200506623.0,,Adult Other
201016206.0,IC,
201015631.0,IC,Invest Cont
200408874.0,,Invest Cont
200105240.0,IC,Invest Cont
200415884.0,AO,Adult Other
,IC,Invest Cont
,IC,Invest Cont
201305831.0,,
,,Adult Other
200506397.0,,Invest Cont
200406105.0,,Adult Other
,AO,Adult Other
200806296.0,IC,Invest Cont
200616082.0,,Invest Cont
